Neighborhood,City,Latitude,Longitude
Bearden,Knoxville,,
Cedar Bluff,Knoxville,,
Chilhowee Park,Knoxville,,
Colonial Village,Knoxville,,
Downtown Knoxville,Knoxville,,
East Knoxville,Knoxville,,
Forest Heights,Knoxville,,
Fort Sanders,Knoxville,,
Fountain City,Knoxville,,
Fourth and Gill,Knoxville,,
Island Home Park,Knoxville,,
Lake Forest,Knoxville,,
Lindbergh Forest,Knoxville,,
Lonsdale,Knoxville,,
Mechanicsville,Knoxville,,
North Knoxville,Knoxville,,
Norwood,Knoxville,,
Oakwood-Lincoln Park,Knoxville,,
Old City,Knoxville,,
Old North Knoxville,Knoxville,,
Parkridge,Knoxville,,
Rocky Hill,Knoxville,,
Sequoyah Hills,Knoxville,,
South Knoxville,Knoxville,,
University of Tennessee,Knoxville,,
Turkey Creek,Knoxville,,
West Hills,Knoxville,,
West Knoxville,Knoxville,,